fold,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,mcc,roc_auc,fit_time,score_time
1,0.9943323248956458,0.9943329958899737,0.9943323248956458,0.9943237219685815,0.9940739780027658,0.9939312767274376,0.9939930368830422,0.9938924504198112,0.998451839826302,0.17674732208251953,0.1508622169494629
2,0.994523800405928,0.9945272522684784,0.994523800405928,0.9945160484112467,0.994118796152386,0.994085875246813,0.9940913761645184,0.9940988544490253,0.9986582097004865,0.17614150047302246,0.15265297889709473
3,0.9943321078431373,0.9943286585447391,0.9943321078431373,0.9943228758988024,0.9940109733813072,0.9937796628741398,0.9938876142858936,0.993892031244147,0.9985706574935956,0.18533062934875488,0.14921092987060547
4,0.9937959558823529,0.9937814330335795,0.9937959558823529,0.9937824059710256,0.9933710798454854,0.9929689950297164,0.9931628954591467,0.9933138048601037,0.9987123538780267,0.18424320220947266,0.1509079933166504
5,0.9940640318627451,0.9940556144760627,0.9940640318627451,0.994054184568943,0.9936429178688525,0.9934137928607293,0.9935224583213073,0.9936027955413544,0.9985818276284048,0.18457245826721191,0.1490943431854248
